art_regulamento,codigo_ref_script,codigo_verif,rgbeac_ref_script,rgbeac_verif,legislacao_ref_script,erro
ART-01,Sem correspondência,(sem correspondência intencional),Sem correspondência,(sem correspondência intencional),Sem correspondência,NÃO
ART-02,Sem correspondência,(sem correspondência intencional),Sem correspondência,(sem correspondência intencional),Sem correspondência,NÃO
ART-03,Sem correspondência,(sem correspondência intencional),Sem correspondência,(sem correspondência intencional),Sem correspondência,NÃO
ART-04,Sem correspondência,(sem correspondência intencional),Sem correspondência,(sem correspondência intencional),Sem correspondência,NÃO
ART-05,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-06,Arts. 4.º e 5.º do Código do Animal (DL n.º 214/2013),(sem números extraíveis - OK),"Art.º 7.º do RGBEAC (proposta, jun. 2025)",✓ Arts. [7],"n.ºs 1, 2, 3 e 4 do art.º 7.º do DL n.º 276/2001, de 17 de outubro",NÃO
ART-07,Art.º 4 e 5.º do Código do Animal (DL n.º 214/2013),"✓ Arts. [4, 5]","art.º 7.º e 9 a 12.º do RGBEAC (proposta, jun. 2025)","✓ Arts. [7, 9, 10, 11, 12]","n.ºs 1, 2 e 3 do art.º 7.º do DL n.º 276/2001, de 17 de outubro",NÃO
ART-08,Art.º 8.º do Código do Animal (DL n.º 214/2013)  -Reprodução e criação,✓ Arts. [8],"Art.º 70.º do RGBEAC (proposta, jun. 2025)",✓ Arts. [70],Não há correspondência,NÃO
ART-09,Artigo 31.º - Procedimento para o exercício da atividade de exploração de alojamentos,✓ Arts. [31],Artigo 60.º - Comunicação prévia com prazo,✓ Arts. [60],Artigo 3.º,NÃO
ART-10,Artigo 37.º - Divulgação dos alojamentos,✓ Arts. [37],Artigo 62.º - Divulgação dos alojamentos,✓ Arts. [62],"Havia a Permissão Administrativa apenas no caso de criação/reprodução de cães PP, conforme art. 3.º-B",NÃO
ART-11,Art.º 57.º do Código do Animal (DL n.º 214/2013),✓ Arts. [57],"Art.º 8.º do RGBEAC (proposta, jun. 2025)",✓ Arts. [8],Sem equivalência,NÃO
ART-12,Art.º 19.º do Código do Animal (DL n.º 214/2013),✓ Arts. [19],"Art.ºs 69.º, 84.º e 90.º do RGBEAC (proposta, jun. 2025)",(sem números extraíveis - OK),"Art.º 13.º do DL n.º 276/2001, de 17 de outubro",NÃO
ART-13,Art.º 32.º do Código do Animal (DL n.º 214/2013),✓ Arts. [32],"Art.º 56.º do RGBEAC (proposta, jun. 2025)",✓ Arts. [56],"Art.º 4.º do DL n.º 276/2001, de 17 de outubro",NÃO
ART-14,Art.º 46.º do Código do Animal (DL 214/2013),✓ Arts. [46],"Art. 51.º do RGBEAC (proposta, jun 2025)",✓ Arts. [51],Artigo 12.º Decreto-Lei n.º 276/2001,NÃO
ART-15,Artigo 13.º - Condições dos alojamentos,✓ Arts. [13],"Artigos 47-57 - Regulação detalhada de alojamentos para hospedagem (estruturas, proteção, maneio, responsabilidades veterinárias).","✓ Arts. [47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","Art.º 8.º, Art.º 9.º, Art.º 15.º do DL n.º 276/2001",NÃO
ART-16,Art.º 6.º (Cuidados médico-veterinários) do Código do Animal — DL n.º 214/2013,✓ Arts. [6],"Arts.º 33.º e 55.º do RGBEAC — Regime Geral do Bem-Estar dos Animais de Companhia (proposta, jun. 2025)",(sem números extraíveis - OK),"Art.º 13.º (Maneio) e art.º 16.º (Cuidados de saúde animal) do DL n.º 276/2001, de 17 de outubro",NÃO
ART-17,Art.º 13.º do Código do Animal (DL 214/2013),✓ Arts. [13],"Arts. 47.º e 52.º (n.º 7) do RGBEAC (proposta, jun. 2025)",(sem números extraíveis - OK),"art.º 8.º do DL n.º 276/2001, de 17 de outubro",NÃO
ART-18,Arts. 51.º e 52.º do Código do Animal (DL 214/2013),(sem números extraíveis - OK),"RGBEAC (proposta, jun. 2025) - Artigo 12.º",✓ Arts. [12],Decreto-Lei n.º 276/2001 - Artigo 18.º,NÃO
ART-19,Art.º 79.º do Código do Animal (DL 214/2013),✓ Arts. [79],"Art.º 39.º do RGBEAC (proposta, jun. 2025)",✓ Arts. [39],DL 314/2003 de 17 dezembro,NÃO
ART-20,Art.º 53.º do Código do Animal (DL n.º 214/2013),✓ Arts. [53],"Art.º 17.º do RGBEAC (proposta, jun. 2025)",✓ Arts. [17],"DL n.º 82/2019, de 27 de junho",NÃO
ART-21,Art.º 24.º e Art.º 62.º do Código do Animal (DL 214/2013),"✓ Arts. [24, 62]","Art.º 91 a 95.º + Art.º 115.º n.º 3 do RGBEAC (proposta, jun. 2025)","✓ Arts. [91, 92, 93, 94, 95, 115]","DL 276/2001, DL 82/2019 - Normas de comercialização",NÃO
ART-22,Art. 7.º do Código do Animal (DL 214/2013),✓ Arts. [7],"Arts. 118.º, 119.º, 120.º, Secção I, do RGBEAC (proposta, jun. 2025)",(sem números extraíveis - OK),"Decreto-Lei n.º 315/2009, de 29 de outubro,",NÃO
