Artigo DL 315/2009,Título,Matéria,Status no Novo Código,Localização no Novo Código,Observações e Alterações Significativas
Art. 1º,Objeto,Regime jurídico de animais perigosos,MANTIDO,"Art. 1º (novo código: Objeto geral - cobre toda a legislação sobre animais de companhia)","ALTERADO: Novo código alarga o objeto a TODA a legislação sobre animais de companhia, não apenas animais perigosos. DL 315/2009 era específico sobre ""criação, reprodução e detenção de animais perigosos"". Perda de especificidade significativa."
Art. 2º,Âmbito de aplicação,Exclusões de aplicação,PARCIALMENTE,"Art. 2º (novo código)","ALTERADO: Nova norma refere DL 74/2007 (cães de assistência) mantido. Extensão significativa: novo código now covers ALL companion animals (dogs, cats, ferrets, small rodents, rabbits, birds, reptiles, amphibians, fish) enquanto DL 315/2009 era sobre dangerous/potentially dangerous apenas."
Art. 3º,Definições,"Definições de ""animal perigoso"", ""potencialmente perigoso"", etc.,MANTIDO,"Art. 3º (novo código)","MANTIDO com expansão: Definições de ""animal perigoso"" e ""potencialmente perigoso"" presentes no Art. 3.º do novo código (Definições). SEM ALTERAÇÃO SIGNIFICATIVA nas definições de perigoso/potencialmente perigoso."
Art. 4º,Restrições à detenção,Proibição de detenção sem autorização,MANTIDO,"Art. 4º (novo código: Detenção responsável)","MANTIDO na essência. Texto praticamente idêntico. Sem alteração significativa."
Art. 5º,Licença de cães perigosos,Obrigatoriedade de licença 3-6 meses,MANTIDO,"Art. 5º (novo código)","MANTIDO com ALTERAÇÕES SIGNIFICATIVAS: (1) Mantém obrigatoriedade de licença entre 3-6 meses; (2) Mantém requisitos de idoneidade; (3) MAS: novo código integra isto num contexto mais amplo de bem-estar animal. Requisitos administrativos (termo responsabilidade, cert. criminal, seguro, esterilização, vacinação, formação) mantidos IDENTICAMENTE."
Art. 5-A,Formação para detenção,Aprovação em formação cívica e comportamento animal,MANTIDO,"Art. 5.º-A (novo código)","MANTIDO praticamente idêntico. Requisito de aprovação em formação (educação cívica, comportamento animal, prevenção acidentes) mantido. Certificação por portaria mantida."
Art. 6º,Licença de outros animais perigosos,Extensão a outras espécies,PARCIALMENTE,"Não tem artigo específico; integrado em normas gerais","NÃO APARECE como dispositivo separado. Novo código trata isso NO CONTEXTO de todas as espécies de companhia. SIGNIFICATIVAMENTE ALTERADO: DL 315/2009 tinha norma específica para ""outros animais perigosos"". Novo código não a replica porque não distingue por perigosidade."
Art. 6-A,Validade da licença,Licença válida 1 ano; caducidade automática,MANTIDO,"Art. não encontrado especificamente","NÃO APARECE com clareza. Novo código NÃO tem disposição explícita sobre ""licença válida 1 ano"" para animais perigosos. ALTERAÇÃO SIGNIFICATIVA: omissão de requirement de renovação anual de licenças."
Art. 7º,Identificação e registo,Base de dados de animais perigosos,MANTIDO,"Capítulo VIII - Registo e identificação (Arts. 53-59+)","MANTIDO em conceito. Novo código tem Capítulo inteiro dedicado a Registo e Identificação (SICAFE). MAS: ALTERAÇÃO SIGNIFICATIVA de foco: novo código NOT specific sobre animais perigosos; generalizado para todas as espécies."
Art. 8º,Taxas,Taxas pelas licenças,MANTIDO,"Art. 44º (novo código: Taxas)","MANTIDO. Novo código mantém autorização para fixar taxas por portaria para licenças e registos."
Art. 9º,Atualização SICAFE,Atualização de registos de agressão,MANTIDO,"Integrado em Arts. 53-59 (novo código)","MANTIDO. Obrigação de atualizar SICAFE com episódios de agressão mantida no novo código, mas integrada numa norma mais geral sobre registo."
Art. 10º,Seguro responsabilidade civil,Obrigatoriedade de seguro,MANTIDO,"Art. não encontrado especificamente. Possível integração em normas gerais.","NÃO APARECE como artigo independente. ALTERAÇÃO SIGNIFICATIVA: novo código NÃO replica explicitamente a obrigação de seguro de responsabilidade civil para detentores de animais perigosos. Isto é uma OMISSÃO CRÍTICA."
Art. 11º,Dever especial de vigilância,Vigilância especial de animais perigosos,NÃO APARECE,"Não encontrado.","OMISSÃO: DL 315/2009 Art. 11 impõe ""dever especial de vigilância"" específico para detentores de animais perigosos. NOVO CÓDIGO NÃO TEM DISPOSITIVO EQUIVALENTE. ALTERAÇÃO MUITO SIGNIFICATIVA."
Art. 12º,Segurança reforçada alojamentos,Vedações 2m, espaçamento 5cm, avisos,NÃO APARECE,"Não encontrado especificamente para animais perigosos.","OMISSÃO CRÍTICA: DL 315/2009 Art. 12.º especifica condições de segurança reforçada (vedação 2m, espaçamento <5cm, placas de aviso). NOVO CÓDIGO NÃO TEM ESTAS NORMAS ESPECÍFICAS PARA ANIMAIS PERIGOSOS. Integração possível em Arts. 12-17 (alojamento geral) MAS SEM A ESPECIFICIDADE."
Art. 13º,Segurança circulação,Animais não circulam sozinhos; trela max 1m; açaimo funcional,NÃO APARECE,"Possível Art. 50º (meios de contenção)?","PARCIALMENTE OMITIDO: Novo código tem Art. 50.º sobre ""Obrigatoriedade do uso de coleira ou peitoral e trela ou açaimo"". MAS: (1) NÃO especifica que animais perigosos não podem circular sozinhos; (2) NÃO especifica trela máx 1m; (3) NÃO especifica açaimo funcional com requisitos dados. ALTERAÇÃO SIGNIFICATIVA: perda de requisitos específicos de segurança na circulação."
Art. 14º,Procedimento agressão,Recolha obrigatória a centro oficial,MANTIDO,"Integrado possivelmente em normas de bem-estar geral.","PARCIALMENTE MANTIDO. Novo código tem disposições sobre destino de animais (Arts. 75-77) mas NÃO com a especificidade de DL 315/2009 Art. 14 que obriga recolha IMEDIATA a centro oficial quando agressão. ALTERAÇÃO: foco deslocado para bem-estar geral, não para controlo de risco."
Art. 15º,Destino animais agressores,Eutanásia ofensas graves; treino para ofensas simples,NÃO APARECE,"Possível Art. 75º (Destino dos animais)?","PARCIALMENTE OMITIDO. Novo código tem Art. 75 sobre destino de animais capturados MAS: (1) NÃO especifica critério claro de eutanásia para ofensas graves; (2) NÃO especifica obrigatoriedade de treino de socialização/obediência após agressão simples. ALTERAÇÃO SIGNIFICATIVA: novo código NOT abordar consequências de agressão com detalhe de DL 315/2009."
Art. 16º,Entrada território nacional,Proibição ou condicionamento entrada cães potencialmente perigosos,NÃO APARECE,"Possível Art. relacionado com importação geral?","OMISSÃO SIGNIFICATIVA. DL 315/2009 Art. 16.º tem regime específico sobre ENTRADA de cães potencialmente perigosos (proibição condicionada). NOVO CÓDIGO NÃO TEM DISPOSITIVO ESPECÍFICO. Integração em regime geral de importação (Regulamento UE 2026/131) MAS SEM FOCAGEM NO RISCO DE PERIGOSIDADE."
Art. 17º,Locais criação/reprodução,Permissão administrativa para criação de potencialmente perigosos,NÃO APARECE,"Possível Arts. 17-22 (estabelecimentos de criação)?","PARCIALMENTE OMITIDO. Novo código tem Arts. 17-22 sobre ""Venda nos de criação"" (Établissements) MAS: NÃO ESPECIFICA REQUISITOS REFORÇADOS PARA CRIAÇÃO DE ANIMAIS POTENCIALMENTE PERIGOSOS. ALTERAÇÃO SIGNIFICATIVA: novo código generaliza estabelecimentos; perde especificidade de potencialmente perigosos."
Art. 18º,Condições criação/reprodução,Testes aptidão; registos 5 anos,NÃO APARECE,"Possível Arts. 21-22 (Manutenção de registos)?","PARCIALMENTE OMITIDO. Novo código mantém obrigação de registos em Arts. 21-22 MAS: (1) NÃO especifica TESTES DE APTIDÃO para reprodutores potencialmente perigosos (este requisito está EM NOVO CÓDIGO?); (2) Registos de ninhadas mantidos 5 anos (Art. 21.º novo código). ALTERAÇÃO PARCIAL: registos mantidos, testes aptidão unclear."
Art. 19º,Proibição reprodução,Esterilização de perigosos e agressivos; 4-6 meses para não registados,MANTIDO,"Arts. 68º-69º (Controlo da reprodução)?","PARCIALMENTE MANTIDO. Novo código tem caps. sobre ""Controlo da reprodução"" MAS: (1) NÃO especifica proibição clara de reprodução de ""animais perigosos ou com comportamento agressivo""; (2) Esterilização obrigatória de não registados 4-6 meses: NOVO CÓDIGO TEM ISTO? (Verificar Art. 68-69). ALTERAÇÃO: foco em controlo geral de população, não em risco de perigosidade."
Art. 20º,Comercialização,Restrição a centros com permissão; requisitos venda,NÃO APARECE,"Possível Arts. 79-82 (Comércio)?","OMISSÃO SIGNIFICATIVA. DL 315/2009 Art. 20.º estabelece requisitos ESPECÍFICOS para venda de animais potencialmente perigosos (só em centros com permissão DGAV, com req. específicos). NOVO CÓDIGO HAS Arts. 79-82 sobre comércio geral de animais MAS SEM DISTINGUIR PERIGOSOS."
Art. 21º,Obrigatoriedade treino,Treino 6-12 meses; socialização e obediência,MANTIDO,"Arts. Treino (Capítulo sobre bem-estar)?","PARCIALMENTE MANTIDO. Novo código tem disposições sobre bem-estar MAS: NÃO TEM CAPÍTULO ESPECÍFICO SOBRE TREINO OBRIGATÓRIO DE POTENCIALMENTE PERIGOSOS. ALTERAÇÃO SIGNIFICATIVA: treino obrigatório 6-12 meses de DL 315/2009 NÃO APARECE com clareza no novo código."
Art. 22º,Regime exceção treino,Exclusão cães-guia, competição,NÃO APARECE,"Não encontrado.","OMISSÃO. Regime de exceção ao treino obrigatório para cães-guia, assistência, competição NÃO APARECE no novo código como dispositivo específico."
Art. 23º,Locais treino,Escolas treino ou terrenos privados com segurança,NÃO APARECE,"Não encontrado.","OMISSÃO. DL 315/2009 Art. 23.º estabelece requisitos específicos para locais de treino de potencialmente perigosos. NOVO CÓDIGO NÃO TEM DISPOSITIVO EQUIVALENTE."
Art. 24º,Reserva atividade treinadores,Treino só por treinador certificado,PARCIALMENTE,"Integrado possível em normas gerais de bem-estar?","OMISSÃO SIGNIFICATIVA. DL 315/2009 Art. 24.º estabelece ""reserva de atividade"" (monopólio de treinadores certificados). NOVO CÓDIGO NÃO TEM NORMA EQUIVALENTE ESPECÍFICA PARA POTENCIALMENTE PERIGOSOS."
Art. 25º,Título profissional treinador,Requisitos (12º ano, cert. criminal, qualificações),NÃO APARECE,"Não encontrado.","OMISSÃO. DL 315/2009 Arts. 25-29 estabelecem regime detalhado para título profissional de treinador. NOVO CÓDIGO NÃO TEM DISPOSIÇÃO EQUIVALENTE."
Art. 26º,Certificado qualificações,Provas teóricas (comportamento, metodologia) e práticas,NÃO APARECE,"Não encontrado.","OMISSÃO. Regime de certificação de treinadores de DL 315/2009 NÃO APARECE no novo código."
Art. 27º,Lista treinadores,DGAV mantém lista pública de treinadores,NÃO APARECE,"Não encontrado.","OMISSÃO. Lista pública de treinadores certificados NÃO APARECE no novo código."
Art. 28º,Obrigações treinadores,Registos 10 anos; documento treino,NÃO APARECE,"Não encontrado.","OMISSÃO. Obrigações de registos de treinadores (10 anos) NÃO APARECE no novo código."
