Artigo,Disposição específica (verbatim EN),Descrição curta,Existe em @codigo?,Existe em @rgbeac?,Existe em DL 82/2019?,Existe em Lei 27/2016?,Keywords encontradas @codigo,Keywords encontradas @rgbeac
Art. 6,dogs and cats are provided with water and feed of a quality and quantity that affords them appropriate nutrition and hydration,dogs and cats are provided with water and feed of a quality and quantity that af,SIM,SIM,PARCIAL,NÃO,"água, alimentação, qualidade","água, alimentação, nutrição"
Art. 6,"dogs and cats are kept in a physical environment that is appropriate and regularly cleaned, that is secure and comfortable, especially in terms of space, air quality, temperature, light, protection against adverse climatic conditions",dogs and cats are kept in a physical environment that is appropriate and regular,SIM,SIM,PARCIAL,PARCIAL,"ambiente, físico, limpeza","ambiente, físico, limpeza"
Art. 6,"dogs and cats are kept safe, clean and in good health, and diseases, injuries, and pain are prevented","dogs and cats are kept safe, clean and in good health, and diseases, injuries, a",SIM,SIM,SIM,SIM,"segurança, saúde, doença","segurança, saúde, doença"
Art. 6,dogs and cats are kept in an environment that enables them to exhibit species-specific and social non-harmful behaviour,dogs and cats are kept in an environment that enables them to exhibit species-sp,SIM,SIM,PARCIAL,PARCIAL,"comportamento, social, espécie","comportamento, social, espécie"
Art. 7,Operators shall be responsible for the welfare of dogs and cats kept in establishments under their responsibility and control,Operators shall be responsible for the welfare of dogs and cats kept in establis,SIM,SIM,SIM,NÃO,"responsável, bem-estar, operador","responsável, bem-estar, operador"
Art. 7,"Operators shall not subject any dog or cat to cruelty, abuse or mistreatment","Operators shall not subject any dog or cat to cruelty, abuse or mistreatment",PARCIAL,SIM,NÃO,NÃO,"abuso, operador","crueldade, abuso, maus-tratos"
Art. 7,Operators shall not abandon the dogs and cats bred or kept by them,Operators shall not abandon the dogs and cats bred or kept by them,PARCIAL,PARCIAL,NÃO,NÃO,"abandono, operador","abandono, operador"
Art. 8,Operators of breeding establishments shall ensure that their breeding strategies minimise the risk of producing dogs or cats with genotypes associated with effects detrimental to the health and welfare,Operators of breeding establishments shall ensure that their breeding strategies,SIM,SIM,SIM,SIM,"criação, saúde, bem-estar","genótipo, criação, saúde"
Art. 8,Operators of breeding establishments shall not use for reproduction dogs or cats that have excessive conformational traits leading to a high risk of detrimental effects on the welfare,Operators of breeding establishments shall not use for reproduction dogs or cats,SIM,SIM,PARCIAL,SIM,"criação, reprodução, bem-estar","criação, reprodução, bem-estar"
Art. 8,"breeding between parents and offspring, between siblings, between half-siblings or between grandparents and grandchildren... shall be prohibited","breeding between parents and offspring, between siblings, between half-siblings ",SIM,SIM,PARCIAL,PARCIAL,"pais, reprodução, proibido","consanguinidade, pais, reprodução"
Art. 8,breeding for the purpose of producing hybrids... shall be prohibited,breeding for the purpose of producing hybrids... shall be prohibited,PARCIAL,PARCIAL,NÃO,NÃO,"reprodução, proibido","reprodução, proibido"
Art. 9,Operators shall notify the competent authorities of their activity,Operators shall notify the competent authorities of their activity,SIM,SIM,PARCIAL,NÃO,"notificação, autoridade, operador","notificação, autoridade, operador"
Art. 9,The competent authority shall maintain a register of establishments,The competent authority shall maintain a register of establishments,SIM,SIM,SIM,NÃO,"registo, estabelecimento, autoridade","registo, estabelecimento, autoridade"
Art. 10,Operators of breeding establishments that either produce or intend to produce more than five litters per calendar year or that keep more than a combined total of five bitches or queens at any given time shall place dogs or cats on the market only after their establishment has been approved,Operators of breeding establishments that either produce or intend to produce mo,SIM,SIM,SIM,PARCIAL,"aprovação, criação, cinco","aprovação, criação, cinco"
Art. 10,The competent authority shall perform on-site inspections to verify that the establishment meets the requirements of this Regulation,The competent authority shall perform on-site inspections to verify that the est,SIM,SIM,SIM,NÃO,"inspeção, local, requisitos","inspeção, verificação, local"
Art. 11,"Operators shall provide to the acquirer of a dog or cat written information necessary to enable the acquirer to ensure the animal's welfare, including information on responsible ownership",Operators shall provide to the acquirer of a dog or cat written information nece,SIM,SIM,SIM,NÃO,"informação, escrita, bem-estar","informação, escrita, proprietário"
Art. 18,"mutilations, including ear cropping, tail docking, claw removal or other partial or complete digit amputation, and resection of vocal cords or folds, are not performed unless justified by medical indications","mutilations, including ear cropping, tail docking, claw removal or other partial",SIM,SIM,NÃO,NÃO,"mutilação, orelha, cauda","orelha, cauda, corte"
