artigo,titulo,conteudo_resumo,tem_correspondencia,fontes_correspondentes
1,Subject matter,"This Regulation lays down minimum requirements for:
(a)	the welfare of dogs and cats bred or kept in establishments or placed on the Union market;
(b)	the traceability of dogs and cats ▌ .",False,NENHUMA
2,Material scope,"1.	This Regulation applies to the breeding, keeping, tracing, placing on the market and entry into the Union of dogs and cats ▌ .
2.	This Regulation does not apply to the breeding, keeping or placing on the market or entry into the Union of dogs or cats intended or used for scientific purposes or fo",False,NENHUMA
3,Personal scope,"1.	Chapter II of this Regulation applies to all operators.
2.	Chapter III of this Regulation applies to all natural and legal persons owning dogs or cats in the Union.
3.	Chapter IV applies to all natural and legal persons who bring dogs or cats into the Union.
4.	This Regulation does not apply to f",False,NENHUMA
4,Definitions,"For the purposes of this Regulation, the following definitions apply:
1.	‘dog’ means an animal of the species Canis lupus familiaris;
▌	
2.	‘cat’ means an animal of the species Felis silvestris catus;
3.	‘welfare of dogs and cats’ means the physical and mental state of a dog or a cat, which receives",False,NENHUMA
5,Exemptions from the obligations set out in this Chapter,1.	A breeding establishment where no more than two litters per calendar year are produced for placing on the market shall be subject to only the obligations laid down in,False,NENHUMA
6,General welfare principles ▌,"Operators ▌ shall apply the following general welfare principles with respect to dogs or cats bred or kept in their establishment: 
(a)	dogs and cats are provided with water and feed of a quality and quantity that affords them appropriate nutrition and hydration;
(b)	dogs and cats are kept in a phys",False,NENHUMA
7,General welfare obligations,"1.	Operators ▌ shall be responsible for the welfare of dogs and cats kept in establishments under their responsibility and control, and shall be responsible for minimising any risks to the welfare of those animals.
2.	In the case of foster homes, the responsibility shall lie with the operator on who",False,NENHUMA
8,Breeding strategies obligations,"1.	Operators of breeding establishments shall ensure that their breeding strategies minimise the risk of producing dogs or cats with genotypes associated with effects detrimental to the health and welfare of those animals. 
2.	Operators of breeding establishments shall not use for reproduction dogs ",False,NENHUMA
9,Notification and registration of establishments,"1.	Operators ▌ shall notify ▌ the competent authorities of their activity, providing at least the following information for each of their establishments:
(a)	the name, address and contact details of the operator;
(b)	the location of the establishment;
(c)	the type of establishment: breeding establis",False,NENHUMA
10,Approval of breeding establishments,1.	Operators of breeding establishments that either produce or intend to produce more than five litters per calendar year or that keep more than a combined total of five bitches or queens at any given time shall place dogs or cats on the market only after their establishment has been approved by the,False,NENHUMA
11,Obligation of informing on responsible ownership,"1.	▌Operators▌ shall provide to the acquirer of a dog or cat written information necessary to enable the acquirer to ensure the animal’s welfare, including information on responsible ownership and on the specific needs of the animal in terms of feeding, care, health and housing, as well as informati",False,NENHUMA
12,7.	Operators shall ensure the welfare of the dogs or cats for which they are responsible by monitori,8.	The Commission is empowered to adopt delegated acts in accordance with,False,NENHUMA
14,Feeding and watering,"1.	Operators ▌ shall ensure that dogs and cats are fed in accordance with the requirements laid down in point 1 of Annex I ▌ .
2.	In addition, operators ▌ shall ensure that dogs and cats are adequately fed and hydrated by supplying:
(a)	clean and fresh water, ad libitum;
(b)	feed of sufficient quant",False,NENHUMA
15,Housing,"1.	The operators of breeding and selling establishments shall ensure that dogs and cats are housed in accordance with point 2 of Annex I. The operators of shelters shall ensure that dogs and cats are housed in accordance with point 2.2 of Annex I.
2.	Operators ▌ shall ensure that:
(a)	the establishm",False,NENHUMA
